Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
362;UNIVERSIDAD CATOLICA DE LA PLATA;01/01/2008;13 N° 1227 E/ 57 Y 58;C. URBANO SUR;Aprendizaje y Educación;9;1900;;;;marzo 7 de 1964;;;15796/81;;408;;;;;BREIDEZ RAFAEL TEL: 422-7100 INT: 125;2008;31 de diciembre;;;X;;ARCHIVADA
363;CENTRO PEDAGOGICO DE LA PLATA;01/01/2012;511 ESQ. 20;RINGUELET;Aprendizaje y Educación;11;1901;484-1954;;;febrero 24 de 1965;;L: 9647 / M: 698;16631/82;;409;;;;;IRULEGUI MARIA VICTORIA TEL: 484-0463;2011-2012;30 de junio;X;X;;;ARCHIVADA
364;ASOCIACION ARGENTINA PARA LA DIFUSION DE CIENCIAS;;;;;;;;;;;;; Dto. de baja 1178/84;;410;;;x;;;;;;;;;
365;CENTRO DE FOMENTO ESTRELLA DE OLMOS;01/01/2017;185 E/ 71 Y 72;LOS HORNOS;Promoción y Fomento;3;1941;;;;febrero 14 de 1966;;L: 10249 / M: 5021;13554/80;;411;SI;;;;Ester Cadelli (Pte);2017;30 de junio;X;X;;;
366;ASOCIACION DE JUBILADOS Y PENSIONADOS CIVILES NACIONALES DE LA PROVINCIA DE BUENOS AIRES;;58 N° 774;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1280/84;;412;;;x;;;;;;;;;
367;ASOCIACION PADRES Y MADRES DE ALUMNOS DEL COLEGIO MONSEÑOR JUAN BAUTISTA SCALABRINI;;67 ESQ.117;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;413;;;x;;;;;;;;;
368;CLUB DE LEONES LA PLATA DARDO ROCHA;;42 ESQ. 18;C. URBANO ESTE;;1;1900;;;;;;;Disp. N° 4/01;;414;;;;x;;;;;;;;
369;CENTRO UNIVERSITARIO AZULEÑO;01/01/1996;47 N° 840 E/ 11 Y 12;C. URBANO NORTE;Asistencia Estudiantil;1;1900;;;;octubre 26 de 1957;;L: 6353 / M: 2929;17747/83;;415;;;;;PUYOU JOSE TEL: 421-8917;1996-1997 ( resta presentar estado de situación patrimonial );28 de febrero;;;X;;
370;CENTRO CHIVILCOY;01/01/1998;63 N° 928 E/ 13 Y 14;C. URBANO SUR;Asistencia Estudiantil;9;1900;451-2355;;;mayo 19 de 1962;;L: 9677 / M: 2434;16828/82;;416;;;;;BENITEZ OSCAR;1998-1999;31 de marzo;X;;X;;
371;COMISION COOPERADORA DE LA DIRECCION DE HEMATOLOGIA;;15 E/ 65 Y 66;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1529/99;;417;;;x;;;;;;;;;
372;CENTRO UNIVERSITARIO PAMPEANO DE LA PLATA;01/01/1999;57 N° 373 E/ 1 Y 2;C. URBANO SUR;Asistencia Estudiantil;9;1900;482-9674;;;mayo 12 de 1934;;;18348/83;;420;;;;;CONOVALOFF SERGIO TEL: 482-9674;1999;31 de diciembre;X;;X;;
373;SOCIEDAD DE FOMENTO SOCIAL Y CULTURAL VILLA RICA;01/01/2018;425 Y 21 d;VILLA ELISA;Promoción y Fomento;12;1894;;socfom-villarica@hotmail.com.ar;; 10 de Abril  1966;;L: 42016 / M: 6983;13554/80;;421;SI;;;;ROBAINA JOSE. SEC: ALICIA RODA 487-0444;2018;31 de octubre;X;X;;;
374;ROTARY CLUB LOS HORNOS;01/01/2018;60 Nº 1942;LOS HORNOS;Servicios;3;1941;;martinjc@speedy.com.ar;;octubre 12 de 1966;;L: 85820 / M: 16818;16853/82;;422;;;;;ARISTE LUIS MARIO;2018;30 de junio;X;X;;2010;
375;ASOCIACION COOPERADORA CONSULTORIOS FERROVIARIOS DE LA PLATA;;17 Nº 1781;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;423;;;x;;;;;;;;;
376;SERVICIOS SOCIALES CONTADURIA GRAL DE LA PROVINCIA DE BUENOS AIRES;;46 E/  7 Y 8;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;424;;;;x;;;;;;;;
377;ASOCIACION CULTURAL SANMARTINIANA DE LA PLATA;;51 ESQ.19;C. URBANO ESTE;;1;1900;;;;;;;Disp. N° 4/01;;425;;;;x;;;;;;;;
378;ASOCIACION COOPERADORA ESCUELA ADAPTACION LABORAL Nº 1;;56 N° 970 E/ 14 Y 15;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;426;;;x;;;;;;;;;
379;TENIS CLUB LA PLATA;01/01/2012;41 Nº 2975 E/ 153 y 154;SAN CARLOS;Tenis;9;1900;;;;octubre 27 de 1973;;L: 15033 M: 1884;13185/80;;427;;;;;BRIEVA ALMONACID 424-9839 Ó 424-9835;2011-2012;31 de julio;X;X;;2010;ARCHIVADA
380;CENTRO DE ESPECIALISTAS EN ANALISIS BIOLOGICOS DISTRITO I;01/01/1995;60 N° 781 E/ 10 Y 11;C. URBANO SUR;Profesiones y Oficios;9;1900;425-6236;;;noviembre 25 de 1959;;L: 12052 / M: 398;15838/81;;428;;;;;RICARDO GARCIA;1995-1996;30 de abril;X;;X;;
381;COLEGIO SANTA TERESA DE JESUS;;27 E/ 60 Y 61;C. URBANO SUR;;5;1900;;;;;;;Disp. N° 4/01;;429;;;;x;;;;;;;;
382;ASOCIACION CICLISTA REGIONAL LA PLATA  ( VER LEGAJO 799);;25 Nº 1228;C. URBANO SUR;;5;1900;;;;;;;;;430;;;x;;;;;;;;;
383;CLUB ESTUDIANTES DE LA PLATA;01/01/2017;53 N° 620 E/ 7 Y 8;C. URBANO SUR;Deportes en general;1;1900;FAX: 425-5716/421-1137;;;agosto 4 de 1905;;L: 1515 / M: 71;13554/80;;431;SI;;;;Juan Sebastian Veron;2017;30 de abril;X;;X;;
384;ASOCIACION COOPERADORA ESCUELA Nº 10;;16 E/ DG 73 Y 48;C. URBANO ESTE;;1;1900;482-1616;;;;;;Disp. N° 4/01;;432;;;;x;;;;;;;;
385;COLEGIO DE AGRIMENSORES DE LA PROVINCIA DE BUENOS AIRES;01/01/1974;51 Nº 1285;C. URBANO SUR;Profesiones y Oficios;5;1900;;;;julio 8 de 1949;;L: 6133 / M: 1350;13554/80;;433;;;;;;1973-1974;31 de enero;;;X;;
386;ASOCIACION COOPERADORA JARDIN DE INFANTES NIÑITO JESUS;01/01/2003;PELLEGRINI E/ 2 Y 3;CITY BELL;Cooperación (Educación);10;1896;472-1397;;;;;;16440/82;;434;;;;;FRUTOS SANDRA TEL: 480-3222;2002-2003;30 de abril;X;;X;;ARCHIVADA
387;ASOCIACION COOPERADORA COLEGIO SAN LUIS;;44 N° 720;C. URBANO NORTE;;1;1900;FAX: 421-8203;;;;;;Disp. N° 4/01;;435;;;;x;;;;;;;;
388;CAJA DE SEGURIDAD SOCIAL PARA ODONTOLOGOS DE LA PROVINCIA DE BUENOS AIRES;01/01/1980;55 N° 740 E/ 9 Y 10;C. URBANO SUR;Profesiones y Oficios;9;1900;;;;octubre 25 de 1973;;L: 16750 / M: 833;16274/82;;436;;;;;PACIFICO JUAN C.;1980 ( 1994-1995 hay solamente comisión directiva );31 de diciembre;X;;X;;
389;ASOCIACION COOPERADORA ESCUELA Nº 38 JOAQUIN V.GONZALEZ;;RIVADAVIA E/ BELGICA Y SAN FRANCISCO;GONNET;;10;1897;;;;;;; Dto. de baja 769/03;;437;;;x;;;;;;;;;
390;ASOCIACION COOPERADORA DE LA DIRECCION DE MENORES DE LA PROVINCIA DE BUENOS AIRES;;1 Y 60 P 4°;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;438;;;x;;;;;;;;;
391;ASOCIACION PROFESIONALES DE ENFERMERIA DE LA PROVINCIA DE BUENOS AIRES;;56 Nº 516;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 955/99;;442;;;x;;;;;;;;;
392;SOCIEDAD DE FOMENTO BARRIO TRANSRADIO;01/01/1997;38 E/ 17 Y 18;VILLA ELISA;Promoción y Fomento;12;1894;;;;mayo 19 de 1974;;L: 64708;18748/83;;443;;;;;RICARDO ROBLES;1997-1998;31 de marzo;X;;X;;ARCHIVADA
393;ASOCIACION COOPERADORA ESCUELA DE CAPACITACION LABORAL Nº 2;;63 N° 433;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;444;;;x;;;;;;;;;
394;CONSERVATORIO DE MUSICA GILARDO GILARDI;;7 Nº 1311;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1280/84;;445;;;x;;;;;;;;;ARCHIVADA
395;SOCIEDAD DE CARIDAD HERMANDAD;;115 Nº 531;TOLOSA;;6;1906;;;;;;;Disp. N° 5/01;;446;;;x;;;;;;;;;
396;SOCIEDAD MEDICA DE LA PLATA;01/01/2013;50 N° 374;C. URBANO NORTE;Especialidades Médicas;1;1900;422-5111;socmedlp@speedy.com.ar /;;septiembre 30 de 1910;;L: 1641 / M: 2443;16263/82;;447;;;;;CORRONS FELIX JOSE 421-2938/15 5578775;2012-2013;30 de noviembre;X;;X;;
397;ASOCIACION COOPERADORA GUARDERIA 8 DE MARZO DEL HOSPITAL INTERZONAL DE AGUDOS GRAL. SAN MARTIN;;71 E/ 115 Y 116;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;448;;;x;;;;;;;;;
398;CLUB CULTURAL Y DEPORTIVO MIGUEL DE AZCUENAGA ( BIBLIOTECA ALFONSINA STORNI );01/01/2015;43 N° 1237;C. URBANO ESTE;De promoción y fomento;4;1900;;clubazcuenagalaplata@hotmail.com;;agosto 30 de 2002;;L: 4378 / M: 115463;1675;40791/08 (Reinscripción);449;;;;;427-4001;2015 (Falta Certificado de Vigencia);31 de diciembre;;;X;;
399;CENTRO DE ESTUDIANTES UNIVERSITARIOS DE ROJAS ( C.E.U.R. );01/01/2000;2 Nº 1331 1/2;C. URBANO SUR;Asistencia Estudiantil;9;1900;425-0044;;;septiembre 12 de 1968;;L: 42714 / M: 6917;425/85;;450;;;;;PINTOS SILVIO TEL: 425-0044;2000;31 de diciembre;X;;X;;ARCHIVADA
400;MUTUAL DE EMPLEADOS SERVICIO CORRECCIONAL DE LA PROVINCIA DE BUENOS AIRES;;DIAG.77 Nº 726;C. URBANO NORTE;;;1900;;;;;;;Disp. N° 4/01;;451;;;;x;;;;;;;;
401;CLUB DEL PERSONAL DE CORREOS Y TELECOMUNICACIONES;01/01/2000;63 N° 673 / 75 E/ 8 Y 9;C. URBANO SUR;Deportes en general;9;1900;;sansewal@hotmail.com.ar;;junio 24 de 1945;;L: 4673 / M: 1150;13554/80;;452;SI;;;;SANSEVERINO WALTER TEL:457-4129;1999-2000;30 de abril;X;;X;;
402;ASOCIACION EMPLEADOS DE MINISTERIO DE OBRAS PUBLICAS DE LA PROVINCIA DE BUENOS AIRES ( ver legajo 353 );;7 E/ 58 Y 59;C. URBANO SUR;;9;1900;;;;;;;Duplicado Leg. 353 Disp. N° 8/01;;453;;;;;;;;;;;;
403;COMISION COOPERADORA DE LA COMISARIA 6º;;1 Nº 335 E/ 38 Y 39;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 5/01;;454;;;x;;;;;;;;;
404;CLUB SOCIAL CULTURAL Y DEPORTIVO VILLA VIEYRA;01/01/1992;77 E/ 1 Y 115;VILLA ELVIRA;Deportes en general;8;1900;;;;julio 14 de 1973;;L: 66832 / M: 12861;;;455;;;;;D´ALESSANDRO MARIO;1992;31 de diciembre;X;;X;;
405;SOCIEDAD DE UROLOGIA Y NEFROLOGIA DE LA PROVINCIA DE BUENOS AIRES;01/01/1981;51 N° 723;C. URBANO SUR;Especialidades Médicas;1;1900;;;;octubre 30 de 1965;;;1438/84;;456;;;;;;1981;30 de octubre;;;X;;
406;ASOCIACION DE INGENIEROS DE LA PLATA;;48 Nº 695 E/ 8 Y 9 P 3°;C. URBANO NORTE;;1;1900;;;;;;;Dto. de baja 1809/98;;457;;;x;;;;;;;;;
407;CONSEJO DE EDUCACION CATOLICA DE LA PROVINCIA DE BUENOS AIRES;01/01/2004;55 N° 875 E/ 12 Y 13;C. URBANO SUR;Aprendizaje y Educación;9;1900;482-7473/425-8385/ FAX: 422-9714;cecpba@infovia.com.ar;;diciembre 12 de 1917;;L: 9161;13554/80;;458;;;;;MONS. CARLOS HUMBERTO MALFA;2004 ( resta presentar el informe de la comisión revisora de cuentas );31 de diciembre;;;X;;ARCHIVADA
408;ASOCIACION COOPERADORA JARDIN DE INFANTES Nº 912;;77 E/ 131 Y 132;SAN LORENZO;;3;1900;;;;;;;Disp. N° 4/01;;459;;;;x;;;;;;;;
409;CENTRO DE FOMENTO ALBERT BRUCE SAVIN;;147 Nº 1297;LOS HORNOS;;3;1941;;;;;;;Dto. de baja  40/03;;460;;;x;;;;;;;;;
410;SOCIEDAD ODONTOLOGICA  DE LA PLATA;01/01/2017;13 N° 680 E/ 45 Y 46;C. URBANO NORTE;Profesiones y Oficios;1;1900;422-7471;secretaria@solp.org.ar;;agosto 5 de 1925;;L: 4494 / M: 240;13554/80;;461;;;;;DR. DARDO PEREIRA TEL: 482-1155 / 422-7471 INT: 211;2017;31 de diciembre;X;X;;;
411;ASOCIACION COOPERADORA GUARDERIA Nº 1 MI OTRA CASITA;;57 E/ 6 Y 7;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;462;;;x;;;;;;;;;
412;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO JUVENTUD DE ZONA SUR;01/01/1974;74 E/ 18 Y 19;SAN LORENZO;Promoción y Fomento;8;1900;;;;marzo 30 de 1975;;L: 14896 / M: 8234;13554/80;;463;;;;;;1974-1975;;X;;X;;ARCHIVADA
413;ASOCIACION COOPERADORA ESTACION EXPERIMENTAL DE GORINA;01/01/2018;501 E/ 147 Y 148;GORINA;Cooperación (otros);10;1896;484-0443;estaciongorirna@gmail.com;;enero 26 de 1975;;L: 14810 / M: 8999;16297/82;;464;;;;;CUOMO WALTER DANIEL;2018 (falta certif de vigencia);30 de abril;;X;;;
414;CLUB SAN JORGE DE VILLA ELISA;01/01/2007;33 E/ 15 Y 16;VILLA ELISA;Deportes en general;12;1894;;;;;13/06/1966;L: 9429 / M: 1890;15795/81;;465;;;;;CRESPO VERONICA;2006-2007;31 de marzo;X;;X;;ARCHIVADA
415;CIRCULO DE OFICIALES DEL SERVICIO PENITENCIARIO DE LA PROVINCIA DE BUENOS AIRES;;33 N° 616;C. URBANO NORTE;Profesiones y Oficios;2;1900;483-3713;;;agosto 21 de 1972;;;602/84;;466;;;;;RODRIGUEZ FABIAN R. 15 5975988;2018;31 de julio;X;;X;;
416;ASOCIACION DE ASISTENCIA INTEGRAL AL MENOR Y LA FAMILIA;;61 N° 1665 DTO. 2;C. URBANO SUR;;5;1900;;;;;;;Dto. de baja 1662/03;;467;;;x;;;;;;;;;
417;ASOCIACION DE PERSONAL DE DIRECCION DE VIALIDAD DE LA PROVINCIA DE BUENOS AIRES;01/01/1995;60 N° 703 E/ 9 Y 10;C. URBANO SUR;Profesiones y Oficios;9;1900;421-5354/422-9192;;;octubre 20 de 1958;;;32/83;;468;;;;;TRISTAN JORGE ARLA;1995-1996;31 de marzo;X;;X;;
418;CENTRO UNIVERSITARIO MISIONERO;;49 Nº 479;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;469;;;;x;;;;;;;;
419;SANTA BARBARA HOCKEY CLUB;01/01/2008;CENTENARIO Y 493;GONNET;Deportes en general;13;1897;471-1743;"santabarbarahockeyclub@gmail.com; mmagdalenaruiz@hotmail.com";;febrero 3 de 1974;;L: 14049 / M: 7091;13554/80;;470;SI;;;;MARIANO PEREZ PESADO VICEPTE 15 5529394;2007-2008;31 de octubre;X;;;;ARCHIVADA
420;INSTITUTO BELGRANIANO DE LA PROVINCIA DE BUENOS AIRES;;3 N° 967;C. URBANO SUR;;1;1900;;;;;;; Dto. de baja 1662/03;;471;;;x;;;;;;;;;
421;BIBLIOTECA POPULAR Y MUSEO AMIGOS DEL TANGO;01/01/2012;15 Nº 1579;C. URBANO NORTE;Bibliotecas;1;1900;483-1797 / 424-2698;;;mayo 31 de 1974;18/04/2000;L: 101653 / M: 20791;15641/81;;472;;;;;JUAN PEDRO CENDOYA TEL: 424-2698;2011-2012;31 de octubre;;X;;;ARCHIVADA
422;CASA DEL JUBILADO DE LA PROVINCIA DE BUENOS AIRES;01/01/2002;2 N° 1365;C. URBANO SUR;Profesiones y Oficios;9;1900;421-7562;;;julio 22 de 1974;14/05/1975;L: 14522 / M: 356;13554/80;;473;;;;;GARAVENTO PEDRO  TEL: 452-8368;2001-2002;30 de setiembre;X;;X;;ARCHIVADA
423;SINDICATO DE SALUD PUBLICA DE LA PROVINCIA DE BUENOS AIRES;01/01/2018;44 Nº 771;C. URBANO NORTE;Profesiones y Oficios;2;1900;421-5405 / 424-9978 / 422-9979;infossp@ssp.org.ar;;diciembre 20 de 1951;;;18336/83;;474;;;;;ZAPACH JOSE ANDRES TEL: 421-5405/424-9978;2018;31 de diciembre;X;;X;;
424;ASOCIACION PLATENSE DE ARBITROS;;DIAG. 79 Nº 521 ESQ. 115;C. URBANO SUR;Deportes en general;9;1900;;;;;;;Dto. de baja 1662/03;;476;;;x;;;;;;;;;
425;ASOCIACION DE FOMENTO CULTURAL Y DEPORTIVA EL PROGRESO;01/01/2002;SAN MARTIN Y 25 DE MAYO;ARTURO SEGUI;Equipamiento e Infraestructura;12;1895;;;;julio 24 de 1949;;L: 38847 / M: 5451;13554/80;;477;;;;;DOBLER JULIO TEL: 474-1541;2002;31 de diciembre;;;X;;ARCHIVADA
426;ASOCIACION DIABETICOS LA PLATA;;;;;;;;;;;;; Dto. de baja 793/85;;478;;;x;;;;;;;;;
427;CONSORCIO VECINAL BARRIO PARQUE LACROZE;;;;;;;;;;;;; Dto. de baja 782/84;;479;;;x;;;;;;;;;
428;SINDICATO DEL PERSONAL MENSUAL DE LA DIRECCION DE HIPODROMOS;;3 Nº 488;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;480;;;;x;;;;;;;;
429;TALLER PROTEGIDO LA PLATA;01/01/2015;17 N° 620 E/ 44 Y 45;C. URBANO ESTE;Capacidades diferentes (iniciación productiva);1;1900;424-5252 / 478-0526;viviana1949@hotmail.com;;11 de Abril 1975;;L: 15127 / M: 1721;15641/81;;481;SI;;;;RODOLFO ALVAREZ FERRANDO;2014-2015;30 de junio;X;X;;;
430;ASOCIACION COOPERADORA ESCUELA RECONQUISTA;;82 Nº 548;VILLA ELVIRA;;8;1900;;;;;;;Dto. de baja 17746/83;;482;;;x;;;;;;;;;
431;ASOCIACION EMPRESARIA HOTELERA GASTRONOMICA DE LA CIUDAD DE LA PLATA Y SU ZONA DE INFLUENCIA;01/01/1997;6 Nº 554;C. URBANO NORTE;Desarrollo Comercial y Productivo;2;1900;421-1602 / 425-9936;;;mayo 6 de 1919;;L: 16099 / M: 1966;666/95;;775;;;;;AGUILAR MARIO;1997-1998;;X;;X;;
432;UNION TRABAJADORES DE ENTIDADES DEPORTIVAS Y CIVILES ( UTEDYC );01/01/1993;56 Nº 422 E/ 3 Y 4;C. URBANO SUR;Profesiones y Oficios;9;1900;421-2444/482-1580;;;julio 19 de 1946;;;755/95;;776;;;;;CARLOS DELEDICQUE;1993-1994;;X;;X;;
433;CLUB SOCIAL CULTURAL Y DEPORTIVO AGRUPACION FLETES;01/01/1993;29 E/ 76 Y 77;SAN LORENZO;Fútbol;5;1900;;;;marzo 10 de 1987;;L: 43813 / M: 6962;750/95;;777;;;;;LUISE JORGE;1993;;;;X;;
434;PRO INFANTIA FUNDACION PARA LA PROMOCION DEL BIENESTAR DEL NIÑO;01/01/2018;8 N° 1689;C. URBANO SUR;Asistencia Infancia y Adolescencia;9;1900;451-3310;;;octubre 24 de 1991;;L: 58803 / M: 11140;961/95;;779;;;;;Maria Eugenia Scanavino 2214825117;2018;31 de diciembre;;X;;;
435;ASOCIACION BONAERENSE DE ENFERMERIA (A.B.E.);01/01/2001;47 N° 697;C. URBANO NORTE;Especialidades Médicas;1;1900;;abecentral@ciudad.com.ar;;enero 11 de 1986;;L: 13769 / M: 5605;946/95;;780;;;;;MARINA LUZ MARTIN TEL: 427-3436;2000-2001( presentó convocatoria de asamblea para el 3/12/04 );;;;X;;ARCHIVADA
436;CLUB AEROMODELISTA LA PLATA;01/01/1993;7 E/ 628 Y 629 / 8 N° 471 1/2;VILLA ELVIRA;Vuelo;8;1900;486-5229;;;diciembre 26 de 1979;;L: 24005 / M: 3921;943/95;;781;;;;;RUBEN TORRES;1993-1994;;;;X;;
437;GRUPO DE TERCERA EDAD ROSAS DE OTOÑO;01/01/1995;122 N° 1821;C. URBANO SUR;Actividades y terapias recreativas;9;1900;;;;enero 31 de 1995;;L: 75172 / M: 14395;942/95;;782;;;;;AZUCENA C. MARQUEZ;1995;;;;X;;
438;ASOCIACION DE MUJERES Y HOMBRES ARGENTINOS ( A.M.H.A.);01/01/1999;43 Nº 814;C. URBANO NORTE;Derechos Humanos;2;1900;421-5541;;;mayo 28 de 1982;;L: 108654 / M. 23780;1014/95;;783;;;;;MARIA LILIA MERZDORF TEL: 422-4998;1999;;;;X;;ARCHIVADA
439;UNION DE CENTROS DE ESTUDIANTES UNIVERSITARIOS BONAERENSES (U.C.E.U.B);01/01/1994;55 N° 336;C. URBANO SUR;Asistencia Estudiantil;9;1900;;;;diciembre 1 de 1993;;L: 69476 / M: 14406;1061/95;;784;;;;;RUBEN ESTEBAN CORDOBA;1994;;;;X;;
440;ASOCIACION DE JUBILADOS Y PENSIONADOS TELEFONICOS DE LA PLATA Y ZONA;01/01/2012;17 Nº 1372 E/ 60 Y 61;C. URBANO SUR;Profesiones y Oficios;9;1900;482-4958 / 427-2171;;;marzo 18 de 1992;;L: 62707 / M: 11790;1062/95;;785;;;;;PICCIANO MARTIN 452-8706;2011-2012;31 de marzo;;;X;;ARCHIVADA
441;FUNDACION PARA ACCIONES SOLIDARIAS E INVESTIGACION EN LA PROVINCIA DE BUENOS AIRES  ( F.A.S.I.B.A. );01/01/2004;18 N° 635;C. URBANO ESTE;Promoción y Fomento;1;1900;422-5522 / 489-1703;info@fasiba.org.ar;;Año 1989;;L: 53143 / M: 9530;1317/95;;786;;;;;SARLO NESTOR ALBERTO TEL: 421-7043 / 155587030;2004;;X;;X;;ARCHIVADA
442;FUNDACION PARA EL DESARROLLO DE EDUCACION FISICA DEPORTES RECREACION Y CIENCIAS APLICADAS A LAS MISMAS;01/01/1994;67 Nº 1676 E/ 28 Y 29;C. URBANO SUR;Profesiones y Oficios;5;1900;;;;mayo 9 de 1988;;L: 47427 / M: 8124;1315/95;;787;;;;;KISTENMACHER JORGE TEL: 425-3397;1994;;;;X;;
443;PROTREN CLUB PLATENSE DE AMIGOS DEL FERROCARRIL;01/01/1995;58 N° 774 E/ 10 Y 11;C. URBANO SUR;Promoción y Fomento;9;1900;483-4429 / 424-1631;;;agosto 30 de 1983;;L: 38760 / M: 5629;1316/95;;788;;;;;AGUILAR CARLOS;1995-1996;;;;X;;
444;CLUB DE LOS ABUELOS LOS HORNOS;01/01/2008;145 Nº 1426 E/ 61 Y 62;LOS HORNOS;Actividades y terapias recreativas;3;1941;450-8725 / 456-2569;;;junio 26 de 1993;;L: 72249 / M: 13676;0005/96;;789;SI;;;;D'ADDASIO ANGEL TEL: 450-8582;2007-2008;26 de setiembre;X;;X;;
445;ASOCIACION DE PADRES PACIENTES ONCOLOGICOS (A.P.P.O.);01/01/2016;14 Nº 1631 E/ 65 Y 66;C. URBANO SUR;Autoayuda;9;1900;423-0582;appooncologicos@hotmail.com;;febrero 17 de 1995;;L: 76276 / M: 14514;185/96;;790;;;;;GOSELLA ALICIA E. 15 5436016;2016;31 de diciembre;;X;;;
446;ASOCIACION DE VERDULEROS FRUTEROS Y FERIANTES DE LA PLATA;01/01/2001;17 N° 1880;C. URBANO SUR;Desarrollo Comercial y Productivo;9;1900;;;;agosto 24 de 1952;;L: 41743 / M: 8767;163/96;;791;;;;;VALDEZ HORACIO TEL: 470-4902;2001;;;;X;;
447;ASOCIACION NUEVA ALIANZA;01/01/2010;38 N° 2982 E/ 154 Y 155;SAN CARLOS;Fútbol;4;1900;470-6051;clubnuevaalianza@yahoo.com.ar;;agosto 30 de 1985;;L: 38242 / M: 7180;392/96;;792;SI;;;;DOMINGUEZ CARLOS TEL: 15-4817483;2010;31 de diciembre;X;X;;;
448;AMOR Y AMISTAD;01/01/2012;141 N° 1689 E/ 66 Y 67;LOS HORNOS;Actividades y terapias recreativas;3;1941;450-9347;;;julio 26 de 1993;;L: 67068 / M: 13375;391/96;;793;;;;;TEL. NO SABEMOS DE QUIEN ES 450-7079;2012;31 de diciembre;X;;X;;
449;ASOCIACION PARA REHABILITACION INTEGRAL DEL PACIENTE DISCAPACITADO ( A.P.R.I.D.);01/01/2000;9 Nº 819  DTO. A;C. URBANO NORTE;Capacidades Diferentes (en general);1;1900;;;;marzo 11 de 1995;;L: 76755 / M: 14746;393/96;;794;;;;;OFELIA C. SANSONI;2000;;;;X;;
450;FUNDACION DE LA FACULTAD DE INGENIERIA PARA LA TRANSFERENCIA DE TECNOLOGIAY LA PROMOCION DE EMPRESAS DE BIENES Y SERVICIOS;01/01/1998;115 Nº 742;C. URBANO NORTE;Equipamiento e Infraestructura;1;1900;482-6165;;;junio 22 de 1994;;L: 72060 / M. 13705;453/96;;797;;;;;ALBINA HORACIO CESAR  TEL: 482-4598;1998-1999;;;;X;;
451;CENTRO TERCERA JUVENTUD;01/01/2007;63 Nº 673 E/ 8 Y 9;C. URBANO SUR;Actividades y terapias recreativas;9;1900;482-9743;;;febrero 23 de 1994;25/08/1994;L: 71004 / M: 13655;506/96;;798;;;;;ALEGRE IRMA TEL: 464-0111;2006-2007;28 de febrero;;;X;;
452;ASOCIACION CICLISTA REGIONAL LA PLATA;01/01/2009;147 Nº 638 E/ 44 Y 45;SAN CARLOS;Deportes en general;4;1900;479-3865 / 457-9372;dlfoa57@yahoo.com.ar / delafuenteosvaldoadolfo@hotmail.com;;marzo 29 de 1946;;L: 12968 / M: 355;548/96;;799;;;;;MOSQUEDA ROBERTO TEL: 453-7712;2008-2009;30 de junio;;;X;;
453;ASOCIACION PATRICIAS ARGENTINAS;;DIAG. 73 E/ 27 Y 28;C. URBANO ESTE;;4;1900;;;;;;;Disp. N° 4/01;;483;;;;x;;;;;;;;
454;FEDERACION DE ASOCIACIONES COOPERADORAS DE ESCUELAS DIFERENCIADAS;;13 Nº 860;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;484;;;;x;;;;;;;;
455;SOCIEDAD DE CIRUGIA BUCO-MAXILO FACIAL DE LA PLATA;;10 Nº 387;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;485;;;;x;;;;;;;;
456;ASOCIACION REMEDIOS DE ESCALADA DE SAN MARTIN;;2 ESQ.46;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;486;;;;x;;;;;;;;
457;CENTRO UNIVERSITARIO DE RIO NEGRO ( C.U.R.N. );01/01/1994;5 N° 874 (SE MUDO);C. URBANO NORTE;Asistencia Estudiantil;1;1900;;;;octubre 29 de 1949;;L: 8036 / M: 5413;679/84;;487;;;;;CARLOS GARCIA;1994-1995;;;;X;;
